Time,UE cc,UE pci,UE rsrp,UE pl,UE cfo [mili],UE DL mcs,UE DL snr,UE DL iter_dl,UE DL brate [Mbps],UE DL bler [%],UE DL ta_us,UE UL mcs,UE UL buff [kilo],UE UL brate [Mbps],UE UL bler [%]
1670629691,0,1,-17,17,13,19,40,1,1.2,0,2.6,23,282,23,0
1670629692,0,1,-17,17,6.4,11,40,1,0.457,0,2.6,23,310,23,0
1670629693,0,1,-17,17,2.1,11,40,1,0.441,0,2.6,23,352,23,0
1670629694,0,1,-17,17,-0.954,11,40,1,0.447,0,2.6,23,381,23,0
1670629695,0,1,-17,17,7.3,11,40,1,0.467,0,2.6,23,380,23,0
1670629696,0,1,-17,17,12,20,40,1,1.4,0,2.6,23,272,23,0
1670629697,0,1,-17,17,9.6,14,40,1,0.723,0,2.6,23,281,23,0
1670629698,0,1,-17,17,1.4,11,40,1,0.444,0,2.6,23,304,23,0
1670629699,0,1,-17,17,6.1,11,40,1,0.441,0,2.6,23,321,23,0
1670629700,0,1,-17,17,4.7,11,40,1,0.444,0,2.6,23,332,23,0
1670629701,0,1,-17,17,8.6,11,40,1,0.442,0,2.6,23,334,23,0
1670629702,0,1,-17,17,0.702,11,40,1,0.447,0,2.6,23,333,23,0
1670629703,0,1,-17,17,8.9,11,40,1,0.448,0,2.6,23,337,23,0
1670629704,0,1,-17,17,6.9,11,40,1,0.453,0,2.6,23,346,23,0
1670629705,0,1,-17,17,2,11,40,1,0.458,0,2.6,23,359,22,0
1670629706,0,1,-17,17,-1.2,11,40,1,0.447,0,2.6,23,383,23,0
1670629707,0,1,-17,17,-8.8,11,40,1,0.497,0,2.6,23,377,23,0
1670629708,0,1,-17,17,22,20,40,1,1.4,0,2.6,23,285,22,0
1670629709,0,1,-17,17,8.6,15,40,1,0.834,0,2.6,23,301,23,0
1670629710,0,1,-17,17,6.7,11,40,1,0.44,0,2.6,23,336,23,0
1670629711,0,1,-17,17,5.8,11,40,1,0.436,0,2.6,23,368,23,0
1670629712,0,1,-17,17,7.3,11,40,1,0.438,0,2.6,23,385,23,0
1670629713,0,1,-17,17,6.9,15,40,1,0.883,0,2.6,23,317,23,0
1670629714,0,1,-17,17,13,20,40,1,1.4,0,2.6,23,273,23,0
