[2022-12-01 13:24:16.692340] Connecting to host 172.16.0.1, port 5201
[2022-12-01 13:24:16.972727] [  4] local 172.16.0.2 port 53666 connected to 172.16.0.1 port 5201
[2022-12-01 13:26:09.045226] [  4] 111.00-112.00 sec  0.00 Bytes  0.00 bits/sec    5    129 KBytes       
[2022-12-01 13:26:10.045455] [  4] 112.00-113.00 sec  0.00 Bytes  0.00 bits/sec   11    122 KBytes       
[2022-12-01 13:26:11.045269] [  4] 113.00-114.00 sec  0.00 Bytes  0.00 bits/sec    4    116 KBytes       
[2022-12-01 13:26:12.045889] [  4] 114.00-115.00 sec  0.00 Bytes  0.00 bits/sec    5    113 KBytes       
[2022-12-01 13:26:13.044906] [  4] 115.00-116.00 sec  0.00 Bytes  0.00 bits/sec    7    105 KBytes       
[2022-12-01 13:26:14.045277] [  4] 116.00-117.00 sec  63.6 KBytes   521 Kbits/sec    5   96.2 KBytes       
[2022-12-01 13:26:15.045382] [  4] 117.00-118.00 sec  0.00 Bytes  0.00 bits/sec    5   87.7 KBytes       
[2022-12-01 13:26:16.045220] [  4] 118.00-119.00 sec  0.00 Bytes  0.00 bits/sec    7   76.4 KBytes       
[2022-12-01 13:26:17.045331] [  4] 119.00-120.00 sec  0.00 Bytes  0.00 bits/sec    9   66.5 KBytes       
[2022-12-01 13:26:18.044646] [  4] 120.00-121.00 sec  0.00 Bytes  0.00 bits/sec    4   48.1 KBytes       
[2022-12-01 13:26:19.045211] [  4] 121.00-122.00 sec  0.00 Bytes  0.00 bits/sec    1   35.4 KBytes       
[2022-12-01 13:26:20.045380] [  4] 122.00-123.00 sec  0.00 Bytes  0.00 bits/sec    6   24.0 KBytes       
[2022-12-01 13:26:21.045240] [  4] 123.00-124.00 sec  0.00 Bytes  0.00 bits/sec    4   9.90 KBytes       
[2022-12-01 13:26:22.045342] [  4] 124.00-125.00 sec  63.6 KBytes   521 Kbits/sec   32   39.6 KBytes       
[2022-12-01 13:26:23.045237] [  4] 125.00-126.00 sec  0.00 Bytes  0.00 bits/sec   10   39.6 KBytes       
[2022-12-01 13:26:24.045294] [  4] 126.00-127.00 sec  0.00 Bytes  0.00 bits/sec    9   39.6 KBytes       
[2022-12-01 13:26:25.045332] [  4] 127.00-128.00 sec  0.00 Bytes  0.00 bits/sec    1   28.3 KBytes       
[2022-12-01 13:26:26.045274] [  4] 128.00-129.00 sec  0.00 Bytes  0.00 bits/sec    0   28.3 KBytes       
[2022-12-01 13:26:27.045227] [  4] 129.00-130.00 sec  0.00 Bytes  0.00 bits/sec    0   28.3 KBytes       
[2022-12-01 13:26:28.045206] [  4] 130.00-131.00 sec  0.00 Bytes  0.00 bits/sec    0   28.3 KBytes       
[2022-12-01 13:26:29.044853] [  4] 131.00-132.00 sec  0.00 Bytes  0.00 bits/sec    0   28.3 KBytes       
[2022-12-01 13:26:30.045098] [  4] 132.00-133.00 sec  0.00 Bytes  0.00 bits/sec    0   28.3 KBytes       
[2022-12-01 13:26:31.045328] [  4] 133.00-134.00 sec  0.00 Bytes  0.00 bits/sec    0   28.3 KBytes       
[2022-12-01 13:26:32.045365] [  4] 134.00-135.00 sec  0.00 Bytes  0.00 bits/sec    0   28.3 KBytes       
[2022-12-01 13:26:33.045293] [  4] 135.00-136.00 sec  0.00 Bytes  0.00 bits/sec    0   28.3 KBytes       
[2022-12-01 13:26:34.044676] [  4] 136.00-137.00 sec  0.00 Bytes  0.00 bits/sec    1   1.41 KBytes       
[2022-12-01 13:26:35.045341] [  4] 137.00-138.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
[2022-12-01 13:26:36.045286] [  4] 138.00-139.00 sec  0.00 Bytes  0.00 bits/sec    0   1.41 KBytes       
