Time,Iperf Clt ID,Iperf Clt Interval Start [sec],Iperf Clt Interval End [sec],Iperf Clt Transfer [MB],Iperf Clt Bandwidth [Mbps],Iperf Clt Retr,Iperf Clt Cwnd [MB]
1669916097,4,429,430,0,0,2,0.201
1669916098,4,430,431,0.0636,0.521,4,0.184
1669916099,4,431,432,0,0,2,0.181
1669916100,4,432,433,0,0,3,0.177
1669916101,4,433,434,0,0,7,0.167
1669916102,4,434,435,0,0,6,0.184
1669916103,4,435,436,0,0,4,0.178
1669916104,4,436,437,0,0,2,0.175
1669916105,4,437,438,0,0,6,0.167
1669916106,4,438,439,0,0,6,0.157
1669916107,4,439,440,0,0,8,0.147
1669916108,4,440,441,0,0,10,0.136
1669916109,4,441,442,0,0,9,0.124
1669916110,4,442,443,0,0,7,0.123
1669916111,4,443,444,0,0,4,0.113
1669916112,4,444,445,0,0,7,0.109
1669916113,4,445,446,0,0,12,0.099
1669916114,4,446,447,0.0636,0.521,7,0.0976
1669916115,4,447,448,0,0,0,0.0976
1669916116,4,448,449,0,0,10,0.0749
1669916117,4,449,450,0,0,5,0.0636
1669916118,4,450,451,0,0,4,0.0481
1669916119,4,451,452,0,0,1,0.0354
1669916120,4,452,453,0,0,3,0.024
1669916121,4,453,454,0,0,4,0.0113
1669916122,4,454,455,0,0,1,0.0099
1669916123,4,455,456,0,0,0,0.0099
1669916124,4,456,457,0,0,0,0.0099
1669916125,4,457,458,0,0,0,0.0099
1669916126,4,458,459,0,0,0,0.0099
1669916127,4,459,460,0,0,0,0.0099
1669916128,4,460,461,0,0,0,0.0099
1669916129,4,461,462,0,0,0,0.0099
1669916130,4,462,463,0,0,0,0.0099
1669916131,4,463,464,0,0,0,0.0099
1669916132,4,464,465,0,0,1,0.00141
1669916133,4,465,466,0,0,0,0.00141
1669916134,4,466,467,0,0,0,0.00141
1669916135,4,467,468,0,0,0,0.00141
1669916136,4,468,469,0,0,0,0.00141
1669916137,4,469,470,0,0,0,0.00141
1669916138,4,470,471,0,0,0,0.00141
1669916139,4,471,472,0,0,0,0.00141
1669916140,4,472,473,0,0,0,0.00141
1669916141,4,473,474,0,0,0,0.00141
1669916142,4,474,475,0,0,0,0.00141
1669916143,4,475,476,0,0,0,0.00141
1669916144,4,476,477,0,0,0,0.00141
1669916145,4,477,478,0,0,0,0.00141
1669916146,4,478,479,0,0,0,0.00141
1669916147,4,479,480,0,0,0,0.00141
1669916148,4,480,481,0,0,0,0.00141
1669916149,4,481,482,0,0,0,0.00141
1669916150,4,482,483,0,0,0,0.00141
1669916151,4,483,484,0,0,0,0.00141
1669916152,4,484,485,0,0,1,0.00141
1669916153,4,485,486,0,0,0,0.00141
1669916154,4,486,487,0,0,0,0.00141
1669916155,4,487,488,0,0,0,0.00141
1669916156,4,488,489,0,0,0,0.00141
1669916157,4,489,490,0,0,0,0.00141
1669916158,4,490,491,0,0,0,0.00141
