Time,Iperf Svr ID,Iperf Svr Interval Start [sec],Iperf Svr Interval End [sec],Iperf Svr Transfer [MB],Iperf Svr Bandwidth [Mbps]
1669916308,5,640,641,0,0
1669916309,5,641,642,0,0
1669916310,5,642,643,0,0
1669916311,5,643,644,0,0
1669916312,5,644,645,0.0127,0.104
1669916313,5,645,646,0,0
1669916314,5,646,647,0,0
1669916315,5,647,648,0,0
1669916316,5,648,649,0,0
1669916317,5,649,650,0,0
1669916318,5,650,651,0,0
1669916319,5,651,652,0,0
1669916320,5,652,653,0,0
1669916321,5,653,654,0.0523,0.429
1669916322,5,654,655,0,0
1669916323,5,655,656,0,0
1669916324,5,656,657,0,0
1669916325,5,657,658,0,0
1669916326,5,658,659,0,0
1669916327,5,659,660,0,0
1669916328,5,660,661,0,0
1669916329,5,661,662,0,0
1669916330,5,662,663,0.0226,0.185
1669916331,5,663,664,0,0
1669916332,5,664,665,0,0
1669916333,5,665,666,0,0
1669916334,5,666,667,0,0
1669916335,5,667,668,0,0
1669916336,5,668,669,0,0
1669916337,5,669,670,0,0
1669916338,5,670,671,0.00141,0.0116
1669916339,5,671,672,0,0
1669916340,5,672,673,0,0
1669916341,5,673,674,0,0
1669916342,5,674,675,0,0
1669916343,5,675,676,0,0
1669916344,5,676,677,0,0
1669916345,5,677,678,0,0
1669916346,5,678,679,0,0
1669916347,5,679,680,0.00566,0.0464
1669916348,5,680,681,0,0
1669916349,5,681,682,0,0
1669916350,5,682,683,0,0
1669916351,5,683,684,0,0
1669916352,5,684,685,0,0
1669916353,5,685,686,0,0
1669916354,5,686,687,0,0
1669916355,5,687,688,0.0297,0.243
1669916356,5,688,689,0.0679,0.556
1669916357,5,689,690,0.0255,0.209
1669916358,5,690,691,0.0141,0.116
1669916359,5,691,692,0.017,0.139
1669916360,5,692,693,0.0156,0.127
1669916361,5,693,694,0,0
1669916362,5,694,695,0,0
1669916363,5,695,696,0.00424,0.0348
1669916364,5,696,697,0.0113,0.0927
1669916365,5,697,698,0.024,0.197
1669916366,5,698,699,0.00424,0.0347
1669916367,5,699,700,0,0
1669916368,5,700,701,0.017,0.139
1669916369,5,701,702,0.0113,0.0927
1669916370,5,702,703,0,0
1669916371,5,703,704,0,0
1669916372,5,704,705,0.00566,0.0464
1669916373,5,705,706,0.00424,0.0348
1669916374,5,706,707,0,0
1669916375,5,707,708,0.00848,0.0696
1669916376,5,708,709,0.0099,0.0811
1669916377,5,709,710,0,0
1669916378,5,710,711,0.00707,0.058
1669916379,5,711,712,0.0283,0.232
1669916380,5,712,713,0.0368,0.301
1669916381,5,713,714,0.0354,0.29
1669916382,5,714,715,0.041,0.336
1669916383,5,715,716,0.0523,0.429
1669916384,5,716,717,0.0297,0.243
1669916385,5,717,718,0.0226,0.185
1669916386,5,718,719,0.0311,0.255
1669916387,5,719,720,0.0368,0.301
1669916388,5,720,721,0.0325,0.266
1669916389,5,721,722,0.0339,0.278
1669916390,5,722,723,0.041,0.336
1669916391,5,723,724,0.0523,0.429
1669916392,5,724,725,0.0481,0.394
1669916393,5,725,726,0.0636,0.521
1669916394,5,726,727,0.0424,0.348
1669916395,5,727,728,0.0339,0.278
1669916396,5,728,729,0.0212,0.174
1669916397,5,729,730,0.065,0.533
1669916398,5,730,731,0.0354,0.29
1669916399,5,731,732,0.0325,0.266
1669916400,5,732,733,0.0424,0.348
1669916401,5,733,734,0.0424,0.348
1669916402,5,734,735,0.0467,0.382
1669916403,5,735,736,0.0368,0.301
1669916404,5,736,737,0.0311,0.255
1669916405,5,737,738,0.0325,0.266
1669916406,5,738,739,0.0184,0.151
1669916407,5,739,740,0.0396,0.324
1669916408,5,740,741,0.024,0.197
1669916409,5,741,742,0,0
1669916410,5,742,743,0.00141,0.0116
1669916411,5,743,744,0.0099,0.0812
1669916412,5,744,745,0,0
1669916413,5,745,746,0.00424,0.0348
1669916414,5,746,747,0.00141,0.0116
1669916415,5,747,748,0.00566,0.0463
1669916416,5,748,749,0.00141,0.0116
1669916417,5,749,750,0.00283,0.0232
1669916418,5,750,751,0.00141,0.0116
1669916419,5,751,752,0.0113,0.0927
1669916420,5,752,753,0.00566,0.0463
1669916421,5,753,754,0.00707,0.0579
1669916422,5,754,755,0.00707,0.0579
1669916423,5,755,756,0.00141,0.0116
1669916424,5,756,757,0.00141,0.0116
1669916425,5,757,758,0.00707,0.0579
1669916426,5,758,759,0.00283,0.0232
1669916427,5,759,760,0.00424,0.0348
1669916428,5,760,761,0,0
1669916429,5,761,762,0,0
1669916430,5,762,763,0,0
1669916431,5,763,764,0,0
1669916432,5,764,765,0.00141,0.0116
1669916433,5,765,766,0,0
1669916434,5,766,767,0,0
1669916435,5,767,768,0,0
1669916436,5,768,769,0.00283,0.0232
1669916437,5,769,770,0,0
1669916438,5,770,771,0,0
1669916439,5,771,772,0,0
1669916440,5,772,773,0,0
1669916441,5,773,774,0,0
1669916442,5,774,775,0,0
1669916443,5,775,776,0,0
1669916444,5,776,777,0,0
1669916445,5,777,778,0,0
1669916446,5,778,779,0.00141,0.0116
1669916447,5,779,780,0.00141,0.0116
1669916448,5,780,781,0.00141,0.0116
1669916449,5,781,782,0,0
1669916450,5,782,783,0,0
1669916451,5,783,784,0,0
1669916452,5,784,785,0,0
1669916453,5,785,786,0,0
1669916454,5,786,787,0,0
1669916455,5,787,788,0,0
1669916456,5,788,789,0,0
1669916457,5,789,790,0,0
1669916458,5,790,791,0,0
1669916459,5,791,792,0,0
1669916460,5,792,793,0,0
1669916461,5,793,794,0,0
1669916462,5,794,795,0,0
1669916463,5,795,796,0,0
