[2022-12-09 22:48:54.875189] -----------------------------------------------------------
[2022-12-09 22:48:54.875264] Server listening on 5201
[2022-12-09 22:48:54.875296] -----------------------------------------------------------
[2022-12-09 22:49:17.304520] Accepted connection from 172.16.0.2, port 51354
[2022-12-09 22:49:17.573377] [  5] local 172.16.0.1 port 5201 connected to 172.16.0.2 port 51546
[2022-12-09 22:51:47.574276] [  5] 149.00-150.00 sec  0.00 Bytes  0.00 bits/sec    1   4.24 KBytes       
[2022-12-09 22:51:48.574411] [  5] 150.00-151.00 sec  0.00 Bytes  0.00 bits/sec    2   4.24 KBytes       
[2022-12-09 22:51:49.573841] [  5] 151.00-152.00 sec  77.8 KBytes   637 Kbits/sec    2   2.83 KBytes       
[2022-12-09 22:51:50.574335] [  5] 152.00-153.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:51:51.574437] [  5] 153.00-154.00 sec  0.00 Bytes  0.00 bits/sec    0   7.07 KBytes       
[2022-12-09 22:51:52.574224] [  5] 154.00-155.00 sec  0.00 Bytes  0.00 bits/sec    3   4.24 KBytes       
[2022-12-09 22:51:53.574467] [  5] 155.00-156.00 sec  0.00 Bytes  0.00 bits/sec    3   2.83 KBytes       
[2022-12-09 22:51:54.574292] [  5] 156.00-157.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:51:55.573531] [  5] 157.00-158.00 sec  80.6 KBytes   661 Kbits/sec    1   4.24 KBytes       
[2022-12-09 22:51:56.574334] [  5] 158.00-159.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:51:57.574470] [  5] 159.00-160.00 sec  0.00 Bytes  0.00 bits/sec    1   2.83 KBytes       
[2022-12-09 22:51:58.574284] [  5] 160.00-161.00 sec  0.00 Bytes  0.00 bits/sec    2   4.24 KBytes       
[2022-12-09 22:51:59.574553] [  5] 161.00-162.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:52:00.574222] [  5] 162.00-163.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:52:01.574342] [  5] 163.00-164.00 sec  0.00 Bytes  0.00 bits/sec    1   2.83 KBytes       
[2022-12-09 22:52:02.573537] [  5] 164.00-165.00 sec  80.6 KBytes   661 Kbits/sec    2   4.24 KBytes       
[2022-12-09 22:52:03.574389] [  5] 165.00-166.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:52:04.574270] [  5] 166.00-167.00 sec  0.00 Bytes  0.00 bits/sec    1   4.24 KBytes       
[2022-12-09 22:52:05.574441] [  5] 167.00-168.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:52:06.574429] [  5] 168.00-169.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:52:07.574294] [  5] 169.00-170.00 sec  0.00 Bytes  0.00 bits/sec    1   2.83 KBytes       
[2022-12-09 22:52:08.574444] [  5] 170.00-171.00 sec  0.00 Bytes  0.00 bits/sec    3   2.83 KBytes       
[2022-12-09 22:52:09.574300] [  5] 171.00-172.00 sec  0.00 Bytes  0.00 bits/sec    1   4.24 KBytes       
[2022-12-09 22:52:10.574223] [  5] 172.00-173.00 sec  80.6 KBytes   660 Kbits/sec    2   2.83 KBytes       
[2022-12-09 22:52:11.574465] [  5] 173.00-174.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:52:12.574485] [  5] 174.00-175.00 sec  0.00 Bytes  0.00 bits/sec    1   2.83 KBytes       
[2022-12-09 22:52:13.574496] [  5] 175.00-176.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:52:14.574233] [  5] 176.00-177.00 sec  0.00 Bytes  0.00 bits/sec    1   4.24 KBytes       
[2022-12-09 22:52:15.574470] [  5] 177.00-178.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:52:16.574440] [  5] 178.00-179.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:52:17.574422] [  5] 179.00-180.00 sec  0.00 Bytes  0.00 bits/sec    1   2.83 KBytes       
[2022-12-09 22:52:18.574150] [  5] 180.00-181.00 sec  79.2 KBytes   649 Kbits/sec    1   5.66 KBytes       
[2022-12-09 22:52:19.574704] [  5] 181.00-182.00 sec  0.00 Bytes  0.00 bits/sec    3   4.24 KBytes       
[2022-12-09 22:52:20.574458] [  5] 182.00-183.00 sec  0.00 Bytes  0.00 bits/sec    3   2.83 KBytes       
[2022-12-09 22:52:21.574406] [  5] 183.00-184.00 sec  0.00 Bytes  0.00 bits/sec    1   2.83 KBytes       
[2022-12-09 22:52:22.574431] [  5] 184.00-185.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:52:23.574417] [  5] 185.00-186.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:52:24.574544] [  5] 186.00-187.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:52:25.573616] [  5] 187.00-188.00 sec  77.8 KBytes   638 Kbits/sec    1   4.24 KBytes       
[2022-12-09 22:52:26.574294] [  5] 188.00-189.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:52:27.574419] [  5] 189.00-190.00 sec  0.00 Bytes  0.00 bits/sec    2   1.41 KBytes       
[2022-12-09 22:52:28.574413] [  5] 190.00-191.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:52:29.574335] [  5] 191.00-192.00 sec  0.00 Bytes  0.00 bits/sec    2   4.24 KBytes       
[2022-12-09 22:52:30.574290] [  5] 192.00-193.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:52:31.574311] [  5] 193.00-194.00 sec  0.00 Bytes  0.00 bits/sec    1   4.24 KBytes       
[2022-12-09 22:52:32.574521] [  5] 194.00-195.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:52:33.574222] [  5] 195.00-196.00 sec  79.2 KBytes   649 Kbits/sec    2   2.83 KBytes       
[2022-12-09 22:52:34.574469] [  5] 196.00-197.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:52:35.574244] [  5] 197.00-198.00 sec  0.00 Bytes  0.00 bits/sec    1   2.83 KBytes       
[2022-12-09 22:52:36.574458] [  5] 198.00-199.00 sec  0.00 Bytes  0.00 bits/sec    2   4.24 KBytes       
[2022-12-09 22:52:37.574273] [  5] 199.00-200.00 sec  0.00 Bytes  0.00 bits/sec    2   4.24 KBytes       
[2022-12-09 22:52:38.574283] [  5] 200.00-201.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:52:39.574393] [  5] 201.00-202.00 sec  0.00 Bytes  0.00 bits/sec    1   4.24 KBytes       
[2022-12-09 22:52:40.574228] [  5] 202.00-203.00 sec  79.2 KBytes   649 Kbits/sec    2   2.83 KBytes       
[2022-12-09 22:52:41.574372] [  5] 203.00-204.00 sec  0.00 Bytes  0.00 bits/sec    2   4.24 KBytes       
[2022-12-09 22:52:42.574425] [  5] 204.00-205.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:52:43.574208] [  5] 205.00-206.00 sec  0.00 Bytes  0.00 bits/sec    2   2.83 KBytes       
[2022-12-09 22:52:44.574209] [  5] 206.00-207.00 sec  0.00 Bytes  0.00 bits/sec    1   2.83 KBytes       
