Time,Iperf Clt ID,Iperf Clt Interval Start [sec],Iperf Clt Interval End [sec],Iperf Clt Transfer [MB],Iperf Clt Bandwidth [Mbps],Iperf Clt Retr,Iperf Clt Cwnd [MB]
1670644660,5,502,503,0,0,1,0.00283
1670644661,5,503,504,0,0,2,0.00283
1670644662,5,504,505,0,0,1,0.00566
1670644663,5,505,506,0,0,1,0.00424
1670644664,5,506,507,0.082,0.672,4,0.00283
1670644665,5,507,508,0,0,2,0.00283
1670644666,5,508,509,0,0,1,0.00283
1670644667,5,509,510,0,0,2,0.00424
1670644668,5,510,511,0,0,2,0.00283
1670644669,5,511,512,0,0,1,0.00424
1670644670,5,512,513,0,0,2,0.00283
1670644671,5,513,514,0,0,2,0.00283
1670644672,5,514,515,0.0778,0.637,1,0.00283
1670644673,5,515,516,0,0,2,0.00283
1670644674,5,516,517,0,0,2,0.00283
1670644675,5,517,518,0,0,1,0.00424
1670644676,5,518,519,0,0,2,0.00283
1670644677,5,519,520,0,0,2,0.00283
1670644678,5,520,521,0.082,0.672,1,0.00424
1670644679,5,521,522,0,0,2,0.00424
1670644680,5,522,523,0,0,2,0.00283
1670644681,5,523,524,0,0,1,0.00424
1670644682,5,524,525,0,0,2,0.00283
1670644683,5,525,526,0,0,2,0.00283
1670644684,5,526,527,0,0,2,0.00283
1670644685,5,527,528,0.0806,0.661,1,0.00424
1670644686,5,528,529,0,0,2,0.00283
1670644687,5,529,530,0,0,1,0.00566
1670644688,5,530,531,0,0,3,0.00424
1670644689,5,531,532,0,0,2,0.00283
1670644690,5,532,533,0,0,2,0.00283
1670644691,5,533,534,0.0778,0.637,1,0.00283
1670644692,5,534,535,0,0,1,0.00424
1670644693,5,535,536,0,0,2,0.00283
1670644694,5,536,537,0,0,2,0.00283
1670644695,5,537,538,0,0,1,0.00424
1670644696,5,538,539,0,0,2,0.00283
1670644697,5,539,540,0,0,2,0.00283
1670644698,5,540,541,0,0,1,0.00424
1670644699,5,541,542,0.0806,0.66,2,0.00283
1670644700,5,542,543,0,0,1,0.00283
1670644701,5,543,544,0,0,2,0.00283
1670644702,5,544,545,0,0,1,0.00424
1670644703,5,545,546,0,0,2,0.00283
1670644704,5,546,547,0,0,2,0.00283
1670644705,5,547,548,0.0806,0.661,0,0.00566
1670644706,5,548,549,0,0,3,0.00283
1670644707,5,549,550,0,0,2,0.00283
1670644708,5,550,551,0,0,2,0.00283
1670644709,5,551,552,0,0,1,0.00283
1670644710,5,552,553,0,0,2,0.00283
1670644711,5,553,554,0,0,2,0.00283
1670644712,5,554,555,0,0,2,0.00283
1670644713,5,555,556,0.0792,0.649,2,0.00283
1670644714,5,556,557,0,0,2,0.00283
1670644715,5,557,558,0,0,1,0.00424
1670644716,5,558,559,0,0,3,0.00141
1670644717,5,559,560,0,0,1,0.00283
1670644718,5,560,561,0,0,2,0.00283
1670644719,5,561,562,0,0,2,0.00283
1670644720,5,562,563,0,0,2,0.00283
1670644721,5,563,564,0.0778,0.638,2,0.00283
1670644722,5,564,565,0,0,1,0.00424
1670644723,5,565,566,0,0,2,0.00283
1670644724,5,566,567,0,0,2,0.00283
1670644725,5,567,568,0,0,1,0.00424
1670644726,5,568,569,0.0778,0.637,2,0.00283
1670644727,5,569,570,0,0,2,0.00141
1670644728,5,570,571,0,0,1,0.00283
1670644729,5,571,572,0,0,2,0.00283
1670644730,5,572,573,0,0,1,0.00424
1670644731,5,573,574,0,0,2,0.00283
1670644732,5,574,575,0,0,2,0.00283
1670644733,5,575,576,0,0,1,0.00566
1670644734,5,576,577,0.082,0.672,2,0.00283
1670644735,5,577,578,0,0,2,0.00283
1670644736,5,578,579,0,0,2,0.00283
1670644737,5,579,580,0,0,1,0.00283
1670644738,5,580,581,0,0,2,0.00283
1670644739,5,581,582,0,0,2,0.00283
1670644740,5,582,583,0,0,2,0.00283
1670644741,5,583,584,0,0,2,0.00283
1670644742,5,584,585,0,0,1,0.00283
1670644743,5,585,586,0.0792,0.649,3,0.00283
1670644744,5,586,587,0,0,1,0.00424
1670644745,5,587,588,0,0,3,0.00283
1670644746,5,588,589,0,0,1,0.00283
1670644747,5,589,590,0,0,2,0.00283
1670644748,5,590,591,0,0,1,0.00424
1670644749,5,591,592,0,0,2,0.00283
1670644750,5,592,593,0,0,1,0.00283
1670644751,5,593,594,0,0,2,0.00283
1670644752,5,594,595,0.0806,0.661,1,0.00283
1670644753,5,595,596,0,0,2,0.00283
