Time,Iperf Svr ID,Iperf Svr Interval Start [sec],Iperf Svr Interval End [sec],Iperf Svr Transfer [MB],Iperf Svr Bandwidth [Mbps]
1670644729,4,571,572,0.0099,0.0811
1670644730,4,572,573,0.0113,0.0927
1670644731,4,573,574,0.00848,0.0695
1670644732,4,574,575,0.0156,0.127
1670644733,4,575,576,0.0212,0.174
1670644734,4,576,577,0.00707,0.0579
1670644735,4,577,578,0.017,0.139
1670644736,4,578,579,0.00707,0.0579
1670644737,4,579,580,0.00424,0.0348
1670644738,4,580,581,0.00848,0.0695
1670644739,4,581,582,0.00848,0.0695
1670644740,4,582,583,0.00848,0.0695
1670644741,4,583,584,0.00707,0.0579
1670644742,4,584,585,0.00566,0.0463
1670644743,4,585,586,0.0156,0.127
1670644744,4,586,587,0.00707,0.0579
1670644745,4,587,588,0.0099,0.0811
1670644746,4,588,589,0.00424,0.0347
1670644747,4,589,590,0.0141,0.116
1670644748,4,590,591,0.0113,0.0926
1670644749,4,591,592,0.0141,0.116
1670644750,4,592,593,0.00424,0.0347
1670644751,4,593,594,0.00848,0.0695
1670644752,4,594,595,0.00566,0.0463
1670644753,4,595,596,0.00848,0.0695
1670644754,4,596,597,0.0113,0.0927
1670644755,4,597,598,0.00848,0.0695
1670644756,4,598,599,0.00566,0.0463
1670644757,4,599,600,0.00848,0.0695
1670644758,4,600,601,0.0113,0.0926
1670644759,4,601,602,0.0127,0.104
1670644760,4,602,603,0.0127,0.104
1670644761,4,603,604,0.0156,0.127
1670644762,4,604,605,0.0099,0.0811
1670644763,4,605,606,0.0141,0.116
1670644764,4,606,607,0.00848,0.0695
1670644765,4,607,608,0.00566,0.0463
1670644766,4,608,609,0.0099,0.0811
1670644767,4,609,610,0.0156,0.127
1670644768,4,610,611,0.0099,0.0811
1670644769,4,611,612,0.0113,0.0927
1670644770,4,612,613,0.0198,0.162
1670644771,4,613,614,0.00848,0.0695
1670644772,4,614,615,0.0311,0.255
1670644773,4,615,616,0.00566,0.0463
1670644774,4,616,617,0.0099,0.0811
1670644775,4,617,618,0.00707,0.0579
1670644776,4,618,619,0.00566,0.0463
1670644777,4,619,620,0.0127,0.104
1670644778,4,620,621,0.0127,0.104
1670644779,4,621,622,0.00848,0.0695
1670644780,4,622,623,0.00848,0.0695
1670644781,4,623,624,0.00848,0.0695
1670644782,4,624,625,0.00707,0.0579
1670644783,4,625,626,0.00566,0.0463
1670644784,4,626,627,0.00848,0.0695
1670644785,4,627,628,0.0156,0.127
1670644786,4,628,629,0.00848,0.0695
1670644787,4,629,630,0.017,0.139
1670644788,4,630,631,0.0141,0.116
1670644789,4,631,632,0.00424,0.0347
1670644790,4,632,633,0.0141,0.116
1670644791,4,633,634,0.00707,0.0579
1670644792,4,634,635,0.00566,0.0463
1670644793,4,635,636,0.0099,0.0811
1670644794,4,636,637,0.00424,0.0347
1670644795,4,637,638,0.0141,0.116
1670644796,4,638,639,0.0099,0.081
1670644797,4,639,640,0.00424,0.0348
1670644798,4,640,641,0.00848,0.0695
1670644799,4,641,642,0.00848,0.0695
1670644800,4,642,643,0.00848,0.0695
1670644801,4,643,644,0.00848,0.0695
1670644802,4,644,645,0.0099,0.0811
1670644803,4,645,646,0.0099,0.0811
1670644804,4,646,647,0.00707,0.0579
1670644805,4,647,648,0.0141,0.116
1670644806,4,648,649,0.00707,0.0579
1670644807,4,649,650,0.00848,0.0695
1670644808,4,650,651,0.017,0.139
1670644809,4,651,652,0.0113,0.0926
1670644810,4,652,653,0.00848,0.0695
1670644811,4,653,654,0.00424,0.0348
1670644812,4,654,655,0.00848,0.0695
1670644813,4,655,656,0.0113,0.0927
1670644814,4,656,657,0.00848,0.0695
1670644815,4,657,658,0.00566,0.0463
1670644816,4,658,659,0.00707,0.0579
1670644817,4,659,660,0.00566,0.0463
1670644818,4,660,661,0.0198,0.162
1670644819,4,661,662,0.0113,0.0927
1670644820,4,662,663,0.0156,0.127
1670644821,4,663,664,0.0156,0.127
1670644822,4,664,665,0.0297,0.243
